time	Ix(U2:Ano)	Ix(U3:Cath)
0.000000000000000e+00	-1.664489e-13	-1.622546e-12
1.621428571428572e-10	-2.028529e-09	1.863624e-09
3.242857142857143e-10	-5.589140e-09	5.190984e-09
4.864285714285715e-10	-1.068200e-08	9.980460e-09
6.485714285714286e-10	-1.730711e-08	1.623205e-08
8.107142857142857e-10	-2.546446e-08	2.394576e-08
9.728571428571430e-10	-3.515407e-08	3.312158e-08
1.135000000000000e-09	-4.637592e-08	4.375951e-08
1.402142857142859e-09	-5.929541e-08	5.626344e-08
1.669285714285719e-09	-7.056258e-08	6.719695e-08
1.936428571428579e-09	-8.017742e-08	7.656003e-08
2.203571428571438e-09	-8.813994e-08	8.435269e-08
2.470714285714298e-09	-9.445013e-08	9.057492e-08
2.737857142857157e-09	-9.910800e-08	9.522672e-08
3.005000000000017e-09	-1.021135e-07	9.830810e-08
3.620714285714292e-09	-1.073329e-07	1.034950e-07
4.236428571428568e-09	-1.116289e-07	1.077389e-07
4.852142857142843e-09	-1.150013e-07	1.110397e-07
5.467857142857118e-09	-1.174502e-07	1.133976e-07
6.083571428571393e-09	-1.189757e-07	1.148125e-07
6.699285714285668e-09	-1.195777e-07	1.152843e-07
7.314999999999943e-09	-1.192562e-07	1.148131e-07
1.003499999999988e-08	-1.201873e-07	1.150997e-07
2.027500000000052e-08	-1.213337e-07	1.137958e-07
3.051500000000173e-08	-1.223390e-07	1.124333e-07
4.075499999999979e-08	-1.233090e-07	1.111186e-07
5.099499999999785e-08	-1.242450e-07	1.098500e-07
6.123499999999592e-08	-1.251483e-07	1.086260e-07
7.147499999999397e-08	-1.260199e-07	1.074451e-07
8.171499999999203e-08	-1.268610e-07	1.063056e-07
9.195499999999009e-08	-1.276725e-07	1.052061e-07
1.021949999999882e-07	-1.284557e-07	1.041452e-07
1.124349999999862e-07	-1.292114e-07	1.031216e-07
1.226749999999889e-07	-1.299407e-07	1.021340e-07
1.329150000000005e-07	-1.306444e-07	1.011810e-07
1.431550000000121e-07	-1.313234e-07	1.002615e-07
1.533950000000237e-07	-1.319786e-07	9.937436e-08
1.636350000000353e-07	-1.326108e-07	9.851833e-08
1.738750000000469e-07	-1.332209e-07	9.769238e-08
1.841150000000585e-07	-1.338096e-07	9.689543e-08
1.943550000000701e-07	-1.343777e-07	9.612647e-08
2.045950000000818e-07	-1.349258e-07	9.538451e-08
2.148350000000934e-07	-1.354548e-07	9.466862e-08
2.250750000001050e-07	-1.359651e-07	9.397787e-08
2.353150000001166e-07	-1.364576e-07	9.331139e-08
2.455550000001282e-07	-1.369328e-07	9.266830e-08
2.557950000001398e-07	-1.373914e-07	9.204780e-08
2.660350000001514e-07	-1.378339e-07	9.144910e-08
2.762750000001630e-07	-1.382608e-07	9.087141e-08
2.865150000001746e-07	-1.386728e-07	9.031402e-08
2.967550000001862e-07	-1.390703e-07	8.977620e-08
3.069950000001978e-07	-1.394539e-07	8.925727e-08
3.172350000002095e-07	-1.398240e-07	8.875656e-08
3.274750000002211e-07	-1.401811e-07	8.827345e-08
3.377150000002327e-07	-1.405257e-07	8.780729e-08
3.479550000002443e-07	-1.408583e-07	8.735750e-08
3.581950000002559e-07	-1.411791e-07	8.692351e-08
3.684350000002675e-07	-1.414887e-07	8.650476e-08
3.786750000002791e-07	-1.417875e-07	8.610072e-08
3.889150000002907e-07	-1.420757e-07	8.571087e-08
3.991550000003023e-07	-1.423539e-07	8.533470e-08
4.093950000003140e-07	-1.426223e-07	8.497175e-08
4.196350000003256e-07	-1.428812e-07	8.462154e-08
4.298750000003372e-07	-1.431311e-07	8.428363e-08
4.401150000003488e-07	-1.433722e-07	8.395758e-08
4.503550000003604e-07	-1.436049e-07	8.364299e-08
4.605950000003720e-07	-1.438294e-07	8.333944e-08
4.708350000003836e-07	-1.440460e-07	8.304655e-08
4.810750000003728e-07	-1.442550e-07	8.276395e-08
4.913150000003302e-07	-1.444566e-07	8.249127e-08
5.015550000002876e-07	-1.446512e-07	8.222816e-08
5.117950000002450e-07	-1.448390e-07	8.197430e-08
5.220350000002024e-07	-1.450202e-07	8.172935e-08
5.322750000001598e-07	-1.451950e-07	8.149300e-08
5.425150000001172e-07	-1.453637e-07	8.126495e-08
5.527550000000746e-07	-1.455264e-07	8.104491e-08
5.629950000000320e-07	-1.456835e-07	8.083259e-08
5.732349999999894e-07	-1.458350e-07	8.062774e-08
5.834749999999468e-07	-1.459813e-07	8.043007e-08
5.937149999999042e-07	-1.461223e-07	8.023934e-08
6.039549999998616e-07	-1.462585e-07	8.005532e-08
6.141949999998190e-07	-1.463898e-07	7.987775e-08
6.244349999997764e-07	-1.465166e-07	7.970642e-08
6.346749999997338e-07	-1.466389e-07	7.954110e-08
6.449149999996912e-07	-1.467569e-07	7.938159e-08
6.551549999996486e-07	-1.468707e-07	7.922769e-08
6.653949999996060e-07	-1.469806e-07	7.907919e-08
6.756349999995634e-07	-1.470866e-07	7.893589e-08
6.858749999995208e-07	-1.471889e-07	7.879763e-08
6.961149999994782e-07	-1.472876e-07	7.866423e-08
7.063549999994356e-07	-1.473828e-07	7.853551e-08
7.165949999993930e-07	-1.474747e-07	7.841131e-08
7.268349999993504e-07	-1.475634e-07	7.829148e-08
7.370749999993078e-07	-1.476489e-07	7.817584e-08
7.473149999992652e-07	-1.477315e-07	7.806428e-08
