time	V(n003)	V(n009)	I(R4)
0.000000000000000e+00	0.000000e+00	0.000000e+00	6.954628e-06
7.812499968782791e-14	1.953125e-06	3.906250e-06	6.954628e-06
1.562499993756558e-13	3.906250e-06	7.812500e-06	6.954628e-06
3.124999987513116e-13	7.812500e-06	1.562500e-05	6.954628e-06
6.249999975026233e-13	1.562500e-05	3.125000e-05	6.954628e-06
1.249999995005247e-12	3.125000e-05	6.250000e-05	6.954628e-06
2.499999990010493e-12	6.250000e-05	1.250000e-04	6.954628e-06
9.999999999999999e-12	2.500000e-04	5.000000e-04	6.954610e-06
1.049999999800210e-11	2.500000e-04	5.000000e-04	6.954608e-06
1.149999999400630e-11	2.500000e-04	5.000000e-04	6.954602e-06
1.349999998601469e-11	2.500000e-04	5.000000e-04	6.954590e-06
2.549999993806505e-11	2.500000e-04	5.000000e-04	6.954502e-06
4.149999987413221e-11	2.500000e-04	5.000000e-04	6.954411e-06
7.349999974626651e-11	2.500000e-04	5.000000e-04	6.954574e-06
1.374999994905351e-10	2.500000e-04	5.000000e-04	6.958393e-06
2.654999989790724e-10	2.500000e-04	5.000000e-04	6.990539e-06
4.416179082871174e-10	2.500000e-04	5.000000e-04	7.119853e-06
6.244583839069386e-10	2.500000e-04	5.000000e-04	7.437324e-06
8.016060426714401e-10	2.500000e-04	5.000000e-04	8.084333e-06
9.961138708725155e-10	2.500000e-04	5.000000e-04	9.454681e-06
1.212472617902749e-09	2.500000e-04	5.000000e-04	1.210298e-05
1.418293354714776e-09	2.500000e-04	5.000000e-04	1.626948e-05
1.722972437471147e-09	2.500000e-04	5.000000e-04	2.563024e-05
2.105929166285443e-09	2.500000e-04	5.000000e-04	4.151133e-05
2.530992198281491e-09	2.500000e-04	5.000000e-04	6.267824e-05
2.982096361988483e-09	2.500000e-04	5.000000e-04	8.689451e-05
3.549138133470558e-09	2.500000e-04	5.000000e-04	1.177549e-04
4.084705997459881e-09	2.500000e-04	5.000000e-04	1.471900e-04
4.758948545701693e-09	2.500000e-04	5.000000e-04	1.853601e-04
5.500921339844494e-09	2.500000e-04	5.000000e-04	2.283464e-04
6.296365555947234e-09	2.500000e-04	5.000000e-04	2.723463e-04
6.973597904619499e-09	2.500000e-04	5.000000e-04	3.026439e-04
7.698916505507339e-09	2.500000e-04	5.000000e-04	3.246215e-04
8.151666002674824e-09	2.500000e-04	5.000000e-04	3.335348e-04
8.638189534328510e-09	2.500000e-04	5.000000e-04	3.415516e-04
9.166983959221137e-09	2.500000e-04	5.000000e-04	3.512148e-04
9.607983551523225e-09	2.500000e-04	5.000000e-04	3.594326e-04
1.021884464617463e-08	2.500000e-04	5.000000e-04	3.689931e-04
1.078017804246551e-08	2.500000e-04	5.000000e-04	3.751743e-04
1.137499874566944e-08	2.500000e-04	5.000000e-04	3.797728e-04
1.210674177861808e-08	2.500000e-04	5.000000e-04	3.846135e-04
1.310404946543422e-08	2.500000e-04	5.000000e-04	3.901331e-04
1.401942296738058e-08	2.500000e-04	5.000000e-04	3.931994e-04
1.524292997384326e-08	2.500000e-04	5.000000e-04	3.950835e-04
1.658650192953772e-08	2.500000e-04	5.000000e-04	3.962280e-04
1.805489820119871e-08	2.500000e-04	5.000000e-04	3.965206e-04
1.962608782088295e-08	2.500000e-04	5.000000e-04	3.960066e-04
2.157921282088295e-08	2.500000e-04	5.000000e-04	3.952649e-04
2.353233782088295e-08	2.500000e-04	5.000000e-04	3.945110e-04
2.548546282088295e-08	2.500000e-04	5.000000e-04	3.938284e-04
2.743858782088295e-08	2.500000e-04	5.000000e-04	3.934105e-04
2.939171282088296e-08	2.500000e-04	5.000000e-04	3.930429e-04
3.134483782088295e-08	2.500000e-04	5.000000e-04	3.927745e-04
3.329796282088295e-08	2.500000e-04	5.000000e-04	3.926303e-04
3.525108782088296e-08	2.500000e-04	5.000000e-04	3.924567e-04
3.720421282088296e-08	2.500000e-04	5.000000e-04	3.923543e-04
3.915733782088296e-08	2.500000e-04	5.000000e-04	3.922901e-04
4.111046282088296e-08	2.500000e-04	5.000000e-04	3.921931e-04
4.306358782088296e-08	2.500000e-04	5.000000e-04	3.921567e-04
4.501671282088296e-08	2.500000e-04	5.000000e-04	3.921178e-04
4.696983782088296e-08	2.500000e-04	5.000000e-04	3.920644e-04
4.892296282088296e-08	2.500000e-04	5.000000e-04	3.920561e-04
5.087608782088297e-08	2.500000e-04	5.000000e-04	3.920277e-04
5.282921282088297e-08	2.500000e-04	5.000000e-04	3.920020e-04
5.478233782088297e-08	2.500000e-04	5.000000e-04	3.920032e-04
5.673546282088297e-08	2.500000e-04	5.000000e-04	3.919812e-04
5.868858782088297e-08	2.500000e-04	5.000000e-04	3.919724e-04
6.064171282088297e-08	2.500000e-04	5.000000e-04	3.919742e-04
6.259483782088297e-08	2.500000e-04	5.000000e-04	3.919580e-04
6.454796282088296e-08	2.500000e-04	5.000000e-04	3.919584e-04
6.650108782088295e-08	2.500000e-04	5.000000e-04	3.919577e-04
6.845421282088295e-08	2.500000e-04	5.000000e-04	3.919473e-04
7.040733782088294e-08	2.500000e-04	5.000000e-04	3.919513e-04
7.236046282088294e-08	2.500000e-04	5.000000e-04	3.919483e-04
7.431358782088293e-08	2.500000e-04	5.000000e-04	3.919429e-04
7.626671282088293e-08	2.500000e-04	5.000000e-04	3.919472e-04
7.821983782088292e-08	2.500000e-04	5.000000e-04	3.919430e-04
8.017296282088292e-08	2.500000e-04	5.000000e-04	3.919414e-04
8.212608782088291e-08	2.500000e-04	5.000000e-04	3.919445e-04
8.407921282088291e-08	2.500000e-04	5.000000e-04	3.919404e-04
8.603233782088290e-08	2.500000e-04	5.000000e-04	3.919411e-04
8.798546282088289e-08	2.500000e-04	5.000000e-04	3.919425e-04
9.189171282088288e-08	2.500000e-04	5.000000e-04	3.919411e-04
9.579796282088287e-08	2.500000e-04	5.000000e-04	3.919392e-04
9.805687500000001e-08	2.500000e-04	5.000000e-04	3.919448e-04
9.878685128353143e-08	2.500000e-04	5.000000e-04	3.919401e-04
9.902365513412568e-08	2.500000e-04	5.000000e-04	3.919383e-04
9.949726283531417e-08	2.500000e-04	5.000000e-04	3.919360e-04
9.952726283531417e-08	2.500000e-04	5.000000e-04	3.919361e-04
1.000100000000000e-07	2.500000e-04	5.000000e-04	3.919383e-04
1.000110000000000e-07	2.250000e-04	5.000000e-04	3.919383e-04
1.000130000000000e-07	1.750000e-04	5.000000e-04	3.919383e-04
1.000200000000000e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000204000000000e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000212000000000e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000228000000000e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000300571428572e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000373142857143e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000445714285715e-07	0.000000e+00	5.000000e-04	3.919383e-04
1.000518285714286e-07	0.000000e+00	5.000000e-04	3.919384e-04
1.000590857142858e-07	0.000000e+00	5.000000e-04	3.919384e-04
1.000663428571429e-07	0.000000e+00	5.000000e-04	3.919385e-04
1.000736000000001e-07	0.000000e+00	5.000000e-04	3.919385e-04
1.001248000000002e-07	0.000000e+00	5.000000e-04	3.919404e-04
1.002272000000003e-07	0.000000e+00	5.000000e-04	3.919592e-04
1.004320000000007e-07	0.000000e+00	5.000000e-04	3.920876e-04
1.006505499824116e-07	0.000000e+00	5.000000e-04	3.924428e-04
1.008300350036201e-07	0.000000e+00	5.000000e-04	3.930971e-04
1.010107207827725e-07	0.000000e+00	5.000000e-04	3.944507e-04
1.012326645136332e-07	0.000000e+00	5.000000e-04	3.975425e-04
1.014647233440779e-07	0.000000e+00	5.000000e-04	4.035369e-04
1.018579496151771e-07	0.000000e+00	5.000000e-04	4.199158e-04
1.021900061491209e-07	0.000000e+00	5.000000e-04	4.392567e-04
1.025290590496023e-07	0.000000e+00	5.000000e-04	4.633952e-04
1.028898496701898e-07	0.000000e+00	5.000000e-04	4.903555e-04
1.032768413666608e-07	0.000000e+00	5.000000e-04	5.170025e-04
1.037379506134889e-07	0.000000e+00	5.000000e-04	5.436927e-04
1.041072759485446e-07	0.000000e+00	5.000000e-04	5.613054e-04
1.044842375837483e-07	0.000000e+00	5.000000e-04	5.775381e-04
1.048878139494190e-07	0.000000e+00	5.000000e-04	5.959396e-04
1.053996270908949e-07	0.000000e+00	5.000000e-04	6.218877e-04
1.058406568142719e-07	0.000000e+00	5.000000e-04	6.449383e-04
1.063244146316493e-07	0.000000e+00	5.000000e-04	6.676121e-04
1.067663607362392e-07	0.000000e+00	5.000000e-04	6.837278e-04
1.071064101607854e-07	0.000000e+00	5.000000e-04	6.926171e-04
1.074929266336702e-07	0.000000e+00	5.000000e-04	7.006029e-04
1.079426627091937e-07	0.000000e+00	5.000000e-04	7.102426e-04
1.084717687313825e-07	0.000000e+00	5.000000e-04	7.235085e-04
1.088974181417090e-07	0.000000e+00	5.000000e-04	7.347995e-04
1.093900503603744e-07	0.000000e+00	5.000000e-04	7.458563e-04
1.098628589805303e-07	0.000000e+00	5.000000e-04	7.527121e-04
1.101860734479375e-07	0.000000e+00	5.000000e-04	7.549352e-04
1.105543448266985e-07	0.000000e+00	5.000000e-04	7.562041e-04
1.109801030933629e-07	0.000000e+00	5.000000e-04	7.584536e-04
1.114349342430662e-07	0.000000e+00	5.000000e-04	7.628134e-04
1.118090172660112e-07	0.000000e+00	5.000000e-04	7.675527e-04
1.122707787658570e-07	0.000000e+00	5.000000e-04	7.728599e-04
1.127123043825696e-07	0.000000e+00	5.000000e-04	7.756895e-04
1.130330696368627e-07	0.000000e+00	5.000000e-04	7.757896e-04
1.133451224723137e-07	0.000000e+00	5.000000e-04	7.746960e-04
1.137501771619774e-07	0.000000e+00	5.000000e-04	7.734064e-04
1.141691411479322e-07	0.000000e+00	5.000000e-04	7.734857e-04
1.144597301005995e-07	0.000000e+00	5.000000e-04	7.748493e-04
1.147723611908818e-07	0.000000e+00	5.000000e-04	7.772368e-04
1.151772606070179e-07	0.000000e+00	5.000000e-04	7.800584e-04
1.156071581948022e-07	0.000000e+00	5.000000e-04	7.815027e-04
1.159071081193607e-07	0.000000e+00	5.000000e-04	7.810437e-04
1.161822040317960e-07	0.000000e+00	5.000000e-04	7.795828e-04
1.165168286712589e-07	0.000000e+00	5.000000e-04	7.775273e-04
1.168727358073754e-07	0.000000e+00	5.000000e-04	7.761236e-04
1.172396754717169e-07	0.000000e+00	5.000000e-04	7.761675e-04
1.175438094140185e-07	0.000000e+00	5.000000e-04	7.774284e-04
1.178802517524122e-07	0.000000e+00	5.000000e-04	7.794628e-04
1.182501069790582e-07	0.000000e+00	5.000000e-04	7.810683e-04
1.187429393303523e-07	0.000000e+00	5.000000e-04	7.812792e-04
1.190320588274336e-07	0.000000e+00	5.000000e-04	7.801797e-04
1.193016237224702e-07	0.000000e+00	5.000000e-04	7.784802e-04
1.196436768091912e-07	0.000000e+00	5.000000e-04	7.765649e-04
1.200074320996689e-07	0.000000e+00	5.000000e-04	7.755691e-04
1.202736863042254e-07	0.000000e+00	5.000000e-04	7.758795e-04
1.205524260302873e-07	0.000000e+00	5.000000e-04	7.771196e-04
1.209201631899143e-07	0.000000e+00	5.000000e-04	7.791436e-04
1.212678692175805e-07	0.000000e+00	5.000000e-04	7.804188e-04
1.216945301286072e-07	0.000000e+00	5.000000e-04	7.804431e-04
1.219648041924373e-07	0.000000e+00	5.000000e-04	7.794525e-04
1.222244563380750e-07	0.000000e+00	5.000000e-04	7.779195e-04
1.225490805522318e-07	0.000000e+00	5.000000e-04	7.761281e-04
1.228867336240292e-07	0.000000e+00	5.000000e-04	7.750685e-04
1.231576619726320e-07	0.000000e+00	5.000000e-04	7.751692e-04
1.234286964302519e-07	0.000000e+00	5.000000e-04	7.761564e-04
1.237525513058628e-07	0.000000e+00	5.000000e-04	7.778566e-04
1.240944269056563e-07	0.000000e+00	5.000000e-04	7.793160e-04
1.245372948762723e-07	0.000000e+00	5.000000e-04	7.799693e-04
1.247659164539851e-07	0.000000e+00	5.000000e-04	7.795009e-04
1.250073596610020e-07	0.000000e+00	5.000000e-04	7.783268e-04
1.252976302297044e-07	0.000000e+00	5.000000e-04	7.766909e-04
1.256060043088696e-07	0.000000e+00	5.000000e-04	7.753868e-04
1.260185290394901e-07	0.000000e+00	5.000000e-04	7.748833e-04
1.263101002097816e-07	0.000000e+00	5.000000e-04	7.755467e-04
1.266047559917594e-07	0.000000e+00	5.000000e-04	7.769417e-04
1.269493997265986e-07	0.000000e+00	5.000000e-04	7.785647e-04
1.273268653892918e-07	0.000000e+00	5.000000e-04	7.795736e-04
1.275872635974260e-07	0.000000e+00	5.000000e-04	7.794502e-04
1.278252784750335e-07	0.000000e+00	5.000000e-04	7.786328e-04
1.280871147125147e-07	0.000000e+00	5.000000e-04	7.773117e-04
1.283953647157703e-07	0.000000e+00	5.000000e-04	7.757951e-04
1.287181320483586e-07	0.000000e+00	5.000000e-04	7.748016e-04
1.289959256807741e-07	0.000000e+00	5.000000e-04	7.747667e-04
1.292614605548872e-07	0.000000e+00	5.000000e-04	7.755239e-04
1.295696242894866e-07	0.000000e+00	5.000000e-04	7.769517e-04
1.299038475709516e-07	0.000000e+00	5.000000e-04	7.784031e-04
1.303034774855603e-07	0.000000e+00	5.000000e-04	7.793226e-04
1.305488907427139e-07	0.000000e+00	5.000000e-04	7.791490e-04
1.307886642526248e-07	0.000000e+00	5.000000e-04	7.783205e-04
1.310563820003644e-07	0.000000e+00	5.000000e-04	7.770367e-04
1.313621756644791e-07	0.000000e+00	5.000000e-04	7.756684e-04
1.316964533664816e-07	0.000000e+00	5.000000e-04	7.748017e-04
1.319637008283632e-07	0.000000e+00	5.000000e-04	7.748678e-04
1.322305760003988e-07	0.000000e+00	5.000000e-04	7.756664e-04
1.325468973675775e-07	0.000000e+00	5.000000e-04	7.770793e-04
1.328826722110176e-07	0.000000e+00	5.000000e-04	7.783914e-04
1.333020092899672e-07	0.000000e+00	5.000000e-04	7.791385e-04
1.335353337708539e-07	0.000000e+00	5.000000e-04	7.788787e-04
1.337765758265108e-07	0.000000e+00	5.000000e-04	7.780091e-04
