time	V(n003)	V(n009)	I(R4)
0.000000000000000e+00	0.000000e+00	0.000000e+00	3.158949e-05
4.952566944496235e-14	1.238142e-06	2.476284e-06	3.158949e-05
9.905133888992469e-14	2.476284e-06	4.952567e-06	3.158949e-05
1.485770083348870e-13	3.714425e-06	7.428851e-06	3.158949e-05
1.981026777798494e-13	4.952567e-06	9.905134e-06	3.158949e-05
2.476283472248118e-13	6.190709e-06	1.238142e-05	3.158949e-05
2.971540166697741e-13	7.428851e-06	1.485770e-05	3.158949e-05
3.466796861147363e-13	8.666992e-06	1.733398e-05	3.158949e-05
6.591796848660480e-13	1.647949e-05	3.295899e-05	3.158949e-05
7.373046845538759e-13	1.843262e-05	3.686523e-05	3.158949e-05
8.935546839295317e-13	2.233887e-05	4.467773e-05	3.158949e-05
1.206054682680843e-12	3.015137e-05	6.030273e-05	3.158949e-05
1.831054680183467e-12	4.577637e-05	9.155273e-05	3.158950e-05
3.081054675188713e-12	7.702637e-05	1.540527e-04	3.158951e-05
9.999999999999999e-12	2.500000e-04	5.000000e-04	3.158955e-05
1.044189453348008e-11	2.500000e-04	5.000000e-04	3.158954e-05
1.132568360044024e-11	2.500000e-04	5.000000e-04	3.158954e-05
1.309326173436056e-11	2.500000e-04	5.000000e-04	3.158953e-05
2.369873053788246e-11	2.500000e-04	5.000000e-04	3.158942e-05
3.783935560924500e-11	2.500000e-04	5.000000e-04	3.158933e-05
6.612060575197008e-11	2.500000e-04	5.000000e-04	3.158993e-05
1.226831060374202e-10	2.500000e-04	5.000000e-04	3.159760e-05
2.358081066083205e-10	2.500000e-04	5.000000e-04	3.165445e-05
4.076695042651822e-10	2.500000e-04	5.000000e-04	3.188942e-05
5.946431410916111e-10	2.500000e-04	5.000000e-04	3.246038e-05
7.693579949164667e-10	2.500000e-04	5.000000e-04	3.354656e-05
9.586662750079451e-10	2.500000e-04	5.000000e-04	3.571514e-05
1.141766581688567e-09	2.500000e-04	5.000000e-04	3.928791e-05
1.337874790169755e-09	2.500000e-04	5.000000e-04	4.536105e-05
1.558632221544786e-09	2.500000e-04	5.000000e-04	5.586674e-05
1.898751891615054e-09	2.500000e-04	5.000000e-04	8.041602e-05
2.434646473056931e-09	2.500000e-04	5.000000e-04	1.360728e-04
3.010988147404261e-09	2.500000e-04	5.000000e-04	2.204805e-04
3.772449468858563e-09	2.500000e-04	5.000000e-04	3.753318e-04
4.481313422848132e-09	2.500000e-04	5.000000e-04	5.645173e-04
4.980225326017888e-09	2.500000e-04	5.000000e-04	7.191502e-04
5.436997530499299e-09	2.500000e-04	5.000000e-04	8.545691e-04
5.956340580756306e-09	2.500000e-04	5.000000e-04	9.738541e-04
6.515437375093813e-09	2.500000e-04	5.000000e-04	1.052020e-03
7.144720889517920e-09	2.500000e-04	5.000000e-04	1.084582e-03
7.918342104335647e-09	2.500000e-04	5.000000e-04	1.073190e-03
8.662109580731198e-09	2.500000e-04	5.000000e-04	1.032129e-03
9.539129496941329e-09	2.500000e-04	5.000000e-04	9.697220e-04
1.053435894928159e-08	2.500000e-04	5.000000e-04	9.029831e-04
1.133153964715254e-08	2.500000e-04	5.000000e-04	8.613166e-04
1.198370047563946e-08	2.500000e-04	5.000000e-04	8.391088e-04
1.271581056380337e-08	2.500000e-04	5.000000e-04	8.253533e-04
1.355918856260722e-08	2.500000e-04	5.000000e-04	8.186037e-04
1.452165675113651e-08	2.500000e-04	5.000000e-04	8.179137e-04
1.588617098126882e-08	2.500000e-04	5.000000e-04	8.222457e-04
1.783929598126882e-08	2.500000e-04	5.000000e-04	8.298677e-04
1.979242098126882e-08	2.500000e-04	5.000000e-04	8.343354e-04
2.174554598126882e-08	2.500000e-04	5.000000e-04	8.341028e-04
2.369867098126882e-08	2.500000e-04	5.000000e-04	8.311825e-04
2.565179598126882e-08	2.500000e-04	5.000000e-04	8.286068e-04
2.760492098126883e-08	2.500000e-04	5.000000e-04	8.275660e-04
2.955804598126883e-08	2.500000e-04	5.000000e-04	8.274552e-04
3.151117098126883e-08	2.500000e-04	5.000000e-04	8.275496e-04
3.346429598126883e-08	2.500000e-04	5.000000e-04	8.276014e-04
3.541742098126883e-08	2.500000e-04	5.000000e-04	8.275322e-04
3.737054598126883e-08	2.500000e-04	5.000000e-04	8.273538e-04
3.932367098126883e-08	2.500000e-04	5.000000e-04	8.271912e-04
4.322992098126883e-08	2.500000e-04	5.000000e-04	8.270950e-04
4.713617098126884e-08	2.500000e-04	5.000000e-04	8.270582e-04
5.299554598126884e-08	2.500000e-04	5.000000e-04	8.270170e-04
5.913393883841169e-08	2.500000e-04	5.000000e-04	8.270068e-04
6.527233169555452e-08	2.500000e-04	5.000000e-04	8.269987e-04
7.141072455269737e-08	2.500000e-04	5.000000e-04	8.269928e-04
7.754911740984022e-08	2.500000e-04	5.000000e-04	8.269890e-04
8.368751026698306e-08	2.500000e-04	5.000000e-04	8.269874e-04
8.982590312412591e-08	2.500000e-04	5.000000e-04	8.269879e-04
9.596429598126874e-08	2.500000e-04	5.000000e-04	8.269905e-04
9.791742098126873e-08	2.500000e-04	5.000000e-04	8.269908e-04
9.833578303746257e-08	2.500000e-04	5.000000e-04	8.269905e-04
9.889359911238768e-08	2.500000e-04	5.000000e-04	8.269887e-04
9.892590532567399e-08	2.500000e-04	5.000000e-04	8.269906e-04
9.896898027672239e-08	2.500000e-04	5.000000e-04	8.269905e-04
1.000100000000000e-07	2.500000e-04	5.000000e-04	8.269905e-04
1.000110000000000e-07	2.250000e-04	5.000000e-04	8.269905e-04
1.000130000000000e-07	1.750000e-04	5.000000e-04	8.269905e-04
1.000200000000000e-07	0.000000e+00	5.000000e-04	8.269904e-04
1.000204000000000e-07	0.000000e+00	5.000000e-04	8.269904e-04
1.000212000000000e-07	0.000000e+00	5.000000e-04	8.269904e-04
1.000228000000000e-07	0.000000e+00	5.000000e-04	8.269903e-04
1.000324000000000e-07	0.000000e+00	5.000000e-04	8.269901e-04
1.000452000000000e-07	0.000000e+00	5.000000e-04	8.269899e-04
1.000708000000001e-07	0.000000e+00	5.000000e-04	8.269901e-04
1.001220000000002e-07	0.000000e+00	5.000000e-04	8.269947e-04
1.002244000000003e-07	0.000000e+00	5.000000e-04	8.270414e-04
1.004292000000007e-07	0.000000e+00	5.000000e-04	8.273429e-04
1.006447979963505e-07	0.000000e+00	5.000000e-04	8.281539e-04
1.008299427558227e-07	0.000000e+00	5.000000e-04	8.297591e-04
1.010257332760027e-07	0.000000e+00	5.000000e-04	8.333649e-04
1.012587996148074e-07	0.000000e+00	5.000000e-04	8.416746e-04
1.015139959695081e-07	0.000000e+00	5.000000e-04	8.585695e-04
1.018654031556553e-07	0.000000e+00	5.000000e-04	8.993557e-04
1.023400170821009e-07	0.000000e+00	5.000000e-04	9.856476e-04
1.028202255349579e-07	0.000000e+00	5.000000e-04	1.107540e-03
1.033294483721263e-07	0.000000e+00	5.000000e-04	1.266201e-03
1.038387221889961e-07	0.000000e+00	5.000000e-04	1.434019e-03
1.044295352968952e-07	0.000000e+00	5.000000e-04	1.606167e-03
1.050991548678082e-07	0.000000e+00	5.000000e-04	1.746137e-03
1.055808317373885e-07	0.000000e+00	5.000000e-04	1.799021e-03
1.059828730569134e-07	0.000000e+00	5.000000e-04	1.808473e-03
1.064141863318229e-07	0.000000e+00	5.000000e-04	1.795903e-03
1.068839031834212e-07	0.000000e+00	5.000000e-04	1.771624e-03
1.074364908256928e-07	0.000000e+00	5.000000e-04	1.742522e-03
1.077275922443582e-07	0.000000e+00	5.000000e-04	1.730811e-03
1.080637056509725e-07	0.000000e+00	5.000000e-04	1.722669e-03
1.085110595261057e-07	0.000000e+00	5.000000e-04	1.716885e-03
1.089270914885267e-07	0.000000e+00	5.000000e-04	1.713201e-03
1.094577462982041e-07	0.000000e+00	5.000000e-04	1.705235e-03
1.101630852645580e-07	0.000000e+00	5.000000e-04	1.685715e-03
1.105979405946121e-07	0.000000e+00	5.000000e-04	1.668087e-03
1.109729528772500e-07	0.000000e+00	5.000000e-04	1.650135e-03
1.114331519703954e-07	0.000000e+00	5.000000e-04	1.628850e-03
1.118969196108238e-07	0.000000e+00	5.000000e-04	1.611204e-03
1.123161214783905e-07	0.000000e+00	5.000000e-04	1.600492e-03
1.127300620641184e-07	0.000000e+00	5.000000e-04	1.595660e-03
1.132162405857785e-07	0.000000e+00	5.000000e-04	1.595826e-03
1.137264567546186e-07	0.000000e+00	5.000000e-04	1.600048e-03
1.143391024534876e-07	0.000000e+00	5.000000e-04	1.606445e-03
1.151906652965019e-07	0.000000e+00	5.000000e-04	1.612989e-03
1.158036516538980e-07	0.000000e+00	5.000000e-04	1.614932e-03
1.164422958807491e-07	0.000000e+00	5.000000e-04	1.615224e-03
1.171432420582453e-07	0.000000e+00	5.000000e-04	1.616185e-03
1.179595081314881e-07	0.000000e+00	5.000000e-04	1.619408e-03
1.187255138250162e-07	0.000000e+00	5.000000e-04	1.623581e-03
1.196104361527401e-07	0.000000e+00	5.000000e-04	1.627111e-03
1.206977326542799e-07	0.000000e+00	5.000000e-04	1.627808e-03
1.215677975163029e-07	0.000000e+00	5.000000e-04	1.626140e-03
1.226105516406084e-07	0.000000e+00	5.000000e-04	1.623990e-03
1.238568293994404e-07	0.000000e+00	5.000000e-04	1.623153e-03
1.251293110080570e-07	0.000000e+00	5.000000e-04	1.623188e-03
1.263375746955112e-07	0.000000e+00	5.000000e-04	1.622750e-03
1.276400391408338e-07	0.000000e+00	5.000000e-04	1.621979e-03
1.291177527633171e-07	0.000000e+00	5.000000e-04	1.621907e-03
1.307613467838570e-07	0.000000e+00	5.000000e-04	1.622494e-03
1.325074228425827e-07	0.000000e+00	5.000000e-04	1.622695e-03
1.344605478425827e-07	0.000000e+00	5.000000e-04	1.622468e-03
1.364136728425827e-07	0.000000e+00	5.000000e-04	1.622484e-03
1.383667978425827e-07	0.000000e+00	5.000000e-04	1.622565e-03
1.403199228425827e-07	0.000000e+00	5.000000e-04	1.622423e-03
1.422730478425827e-07	0.000000e+00	5.000000e-04	1.622369e-03
1.442261728425827e-07	0.000000e+00	5.000000e-04	1.622470e-03
1.461792978425827e-07	0.000000e+00	5.000000e-04	1.622461e-03
1.500855478425827e-07	0.000000e+00	5.000000e-04	1.622434e-03
1.520386728425827e-07	0.000000e+00	5.000000e-04	1.622456e-03
1.539917978425827e-07	0.000000e+00	5.000000e-04	1.622417e-03
1.559449228425827e-07	0.000000e+00	5.000000e-04	1.622416e-03
1.598511728425827e-07	0.000000e+00	5.000000e-04	1.622430e-03
1.637574228425827e-07	0.000000e+00	5.000000e-04	1.622432e-03
1.969605478425826e-07	0.000000e+00	5.000000e-04	1.622428e-03
1.980468750000000e-07	0.000000e+00	5.000000e-04	1.622428e-03
1.980768750000000e-07	0.000000e+00	5.000000e-04	1.622428e-03
2.000000000000000e-07	0.000000e+00	5.000000e-04	1.622427e-03
2.000009999999989e-07	2.500000e-05	5.000000e-04	1.622427e-03
2.000029999999967e-07	7.500000e-05	5.000000e-04	1.622427e-03
2.000100000000000e-07	2.500000e-04	5.000000e-04	1.622427e-03
2.000103999999996e-07	2.500000e-04	4.800000e-04	1.622427e-03
2.000111999999987e-07	2.500000e-04	4.400000e-04	1.622427e-03
2.000127999999969e-07	2.500000e-04	3.600000e-04	1.622427e-03
2.000200000000000e-07	2.500000e-04	7.564479e-16	1.622427e-03
2.000204000000007e-07	2.500000e-04	0.000000e+00	1.622427e-03
2.000212000000020e-07	2.500000e-04	0.000000e+00	1.622427e-03
2.000228000000047e-07	2.500000e-04	0.000000e+00	1.622427e-03
2.000260000000101e-07	2.500000e-04	0.000000e+00	1.622428e-03
2.000324000000209e-07	2.500000e-04	0.000000e+00	1.622428e-03
2.000452000000425e-07	2.500000e-04	0.000000e+00	1.622429e-03
2.000708000000857e-07	2.500000e-04	0.000000e+00	1.622428e-03
2.001220000001720e-07	2.500000e-04	0.000000e+00	1.622414e-03
2.002244000003446e-07	2.500000e-04	0.000000e+00	1.622310e-03
2.003631577407413e-07	2.500000e-04	0.000000e+00	1.621939e-03
2.005057651341234e-07	2.500000e-04	0.000000e+00	1.621071e-03
2.006531430686726e-07	2.500000e-04	0.000000e+00	1.619250e-03
2.007921118239053e-07	2.500000e-04	0.000000e+00	1.615869e-03
2.009518826875100e-07	2.500000e-04	0.000000e+00	1.608807e-03
2.010960336422681e-07	2.500000e-04	0.000000e+00	1.597812e-03
2.012577186226275e-07	2.500000e-04	0.000000e+00	1.578109e-03
2.014104171269714e-07	2.500000e-04	0.000000e+00	1.549069e-03
2.016358236973075e-07	2.500000e-04	0.000000e+00	1.478242e-03
2.020866368379798e-07	2.500000e-04	0.000000e+00	1.260766e-03
2.025110009379488e-07	2.500000e-04	0.000000e+00	9.782277e-04
2.029711258714206e-07	2.500000e-04	0.000000e+00	6.111404e-04
2.033281352510751e-07	2.500000e-04	0.000000e+00	3.197960e-04
2.035932578575724e-07	2.500000e-04	0.000000e+00	1.249011e-04
2.039109857917203e-07	2.500000e-04	0.000000e+00	-6.575211e-05
2.042143099771578e-07	2.500000e-04	0.000000e+00	-2.005907e-04
2.045996018211435e-07	2.500000e-04	0.000000e+00	-3.170818e-04
2.049635081122941e-07	2.500000e-04	0.000000e+00	-3.921379e-04
2.053730064246954e-07	2.500000e-04	0.000000e+00	-4.552255e-04
2.058113438743086e-07	2.500000e-04	0.000000e+00	-5.140393e-04
2.061574637950788e-07	2.500000e-04	0.000000e+00	-5.562743e-04
2.065779148271890e-07	2.500000e-04	0.000000e+00	-6.006554e-04
2.070485577343932e-07	2.500000e-04	0.000000e+00	-6.378854e-04
2.077488630139841e-07	2.500000e-04	0.000000e+00	-6.669521e-04
2.087421102613033e-07	2.500000e-04	0.000000e+00	-6.683308e-04
2.096484047246430e-07	2.500000e-04	0.000000e+00	-6.390191e-04
2.105502853527357e-07	2.500000e-04	0.000000e+00	-5.919099e-04
2.115070639116299e-07	2.500000e-04	0.000000e+00	-5.386174e-04
2.124914189547905e-07	2.500000e-04	0.000000e+00	-4.917451e-04
2.136323808769857e-07	2.500000e-04	0.000000e+00	-4.545317e-04
2.150485325210417e-07	2.500000e-04	0.000000e+00	-4.324393e-04
2.170016575210417e-07	2.500000e-04	0.000000e+00	-4.271842e-04
2.189051813955082e-07	2.500000e-04	0.000000e+00	-4.321316e-04
2.208509870842583e-07	2.500000e-04	0.000000e+00	-4.354943e-04
2.228041120842583e-07	2.500000e-04	0.000000e+00	-4.328345e-04
2.247572370842583e-07	2.500000e-04	0.000000e+00	-4.264539e-04
2.267103620842583e-07	2.500000e-04	0.000000e+00	-4.197799e-04
2.286634870842583e-07	2.500000e-04	0.000000e+00	-4.145019e-04
2.306166120842583e-07	2.500000e-04	0.000000e+00	-4.100263e-04
2.325697370842583e-07	2.500000e-04	0.000000e+00	-3.983654e-04
2.345228620842583e-07	2.500000e-04	0.000000e+00	-3.577296e-04
2.358692405804370e-07	2.500000e-04	0.000000e+00	-2.918692e-04
2.373554220858860e-07	2.500000e-04	0.000000e+00	-1.904672e-04
2.380372088396037e-07	2.500000e-04	0.000000e+00	-1.502388e-04
2.389699581627922e-07	2.500000e-04	0.000000e+00	-1.107730e-04
2.397091565887955e-07	2.500000e-04	0.000000e+00	-8.617831e-05
2.405170724683833e-07	2.500000e-04	0.000000e+00	-6.610265e-05
2.416524598026865e-07	2.500000e-04	0.000000e+00	-4.582794e-05
2.426610107849541e-07	2.500000e-04	0.000000e+00	-3.278948e-05
2.437390782624974e-07	2.500000e-04	0.000000e+00	-2.327080e-05
2.446575523314901e-07	2.500000e-04	0.000000e+00	-1.758732e-05
2.457906197737778e-07	2.500000e-04	0.000000e+00	-1.285474e-05
2.477437447737778e-07	2.500000e-04	0.000000e+00	-7.794370e-06
2.492264361840389e-07	2.500000e-04	0.000000e+00	-5.443777e-06
2.508266985721070e-07	2.500000e-04	0.000000e+00	-4.026376e-06
2.524152544464896e-07	2.500000e-04	0.000000e+00	-3.137374e-06
2.540807735198551e-07	2.500000e-04	0.000000e+00	-2.544273e-06
2.560338985198551e-07	2.500000e-04	0.000000e+00	-2.097793e-06
2.579870235198551e-07	2.500000e-04	0.000000e+00	-1.776251e-06
2.599401485198551e-07	2.500000e-04	0.000000e+00	-1.550419e-06
2.618932735198551e-07	2.500000e-04	0.000000e+00	-1.361840e-06
2.638463985198551e-07	2.500000e-04	0.000000e+00	-1.218011e-06
2.657995235198551e-07	2.500000e-04	0.000000e+00	-1.088188e-06
2.677526485198551e-07	2.500000e-04	0.000000e+00	-9.826797e-07
2.697057735198551e-07	2.500000e-04	0.000000e+00	-8.888223e-07
2.716588985198550e-07	2.500000e-04	0.000000e+00	-8.064869e-07
2.755651485198550e-07	2.500000e-04	0.000000e+00	-6.714479e-07
2.794713985198550e-07	2.500000e-04	0.000000e+00	-5.663811e-07
2.833776485198550e-07	2.500000e-04	0.000000e+00	-4.833853e-07
2.872838985198550e-07	2.500000e-04	0.000000e+00	-4.166933e-07
2.892370235198550e-07	2.500000e-04	0.000000e+00	-3.873529e-07
2.931432735198550e-07	2.500000e-04	0.000000e+00	-3.374316e-07
2.970495235198550e-07	2.500000e-04	0.000000e+00	-2.954050e-07
2.980568750000001e-07	2.500000e-04	0.000000e+00	-2.950068e-07
2.980868750000000e-07	2.500000e-04	0.000000e+00	-2.969351e-07
2.981268750000000e-07	2.500000e-04	0.000000e+00	-2.961190e-07
2.982068749999999e-07	2.500000e-04	0.000000e+00	-2.941201e-07
2.986868749999991e-07	2.500000e-04	0.000000e+00	-2.807689e-07
2.993268749999982e-07	2.500000e-04	0.000000e+00	-2.750876e-07
2.993568749999981e-07	2.500000e-04	0.000000e+00	-2.751323e-07
2.998049999998845e-07	2.500000e-04	0.000000e+00	-2.734628e-07
3.000100000000001e-07	2.500000e-04	0.000000e+00	-2.699175e-07
3.000110000000001e-07	2.250000e-04	0.000000e+00	-2.699024e-07
