time	V(n002)	V(n004)	V(n006)
0.000000000000000e+000	0.000000e+000	3.505323e-004	0.000000e+000
9.142857106324092e-011	4.571429e-006	3.497704e-004	9.142857e-006
1.828571421264818e-010	9.142857e-006	3.501289e-004	1.828571e-005
2.742857131897228e-010	1.371429e-005	3.516077e-004	2.742857e-005
3.657142842529637e-010	1.828571e-005	3.542070e-004	3.657143e-005
4.571428553162046e-010	2.285714e-005	3.579267e-004	4.571429e-005
5.485714263794455e-010	2.742857e-005	3.627668e-004	5.485714e-005
6.399999974426862e-010	3.200000e-005	3.687272e-004	6.400000e-005
9.854294162950294e-010	4.927147e-005	4.303119e-004	9.854294e-005
1.390847190041751e-009	6.954236e-005	5.969362e-004	1.390847e-004
1.765538102501826e-009	8.827690e-005	8.672388e-004	1.765538e-004
2.307627802841982e-009	1.153814e-004	1.488734e-003	2.307628e-004
3.036791369771196e-009	1.518396e-004	2.777486e-003	3.036791e-004
4.023437500000000e-009	2.011719e-004	5.302492e-003	4.023438e-004
4.162946428571429e-009	2.081473e-004	5.728593e-003	4.162946e-004
4.302455357142857e-009	2.151228e-004	6.167210e-003	4.302455e-004
4.441964285714286e-009	2.220982e-004	6.618343e-003	4.441964e-004
4.581473214285715e-009	2.290737e-004	7.081991e-003	4.581473e-004
4.720982142857143e-009	2.360491e-004	7.558154e-003	4.720982e-004
4.860491071428572e-009	2.430246e-004	8.046833e-003	4.860491e-004
5.000000000000000e-009	2.500000e-004	8.548028e-003	5.000000e-004
5.245964198069897e-009	2.500000e-004	9.451348e-003	5.000000e-004
5.527066138721207e-009	2.500000e-004	1.050630e-002	5.000000e-004
6.089270020023827e-009	2.500000e-004	1.260115e-002	5.000000e-004
7.065832520023827e-009	2.500000e-004	1.583454e-002	5.000000e-004
8.042395020023828e-009	2.500000e-004	1.822141e-002	5.000000e-004
9.018957520023828e-009	2.500000e-004	1.962045e-002	5.000000e-004
9.995520020023829e-009	2.500000e-004	2.013570e-002	5.000000e-004
1.097208252002383e-008	2.500000e-004	2.000495e-002	5.000000e-004
1.194864502002383e-008	2.500000e-004	1.950199e-002	5.000000e-004
