Time(s),CH1(V),CH3(V)
1.3077E-06,1.795442E+00,1.391360E-02
1.3080E-06,1.795442E+00,1.478320E-02
1.3082E-06,1.571011E+00,1.478320E-02
1.3085E-06,1.571011E+00,1.565280E-02
1.3087E-06,1.346581E+00,1.565280E-02
1.3090E-06,1.346581E+00,1.478320E-02
1.3092E-06,1.571011E+00,1.565280E-02
1.3095E-06,1.122151E+00,1.652240E-02
1.3097E-06,8.977208E-01,1.565280E-02
1.3100E-06,1.122151E+00,1.565280E-02
1.3102E-06,1.346581E+00,1.652240E-02
1.3105E-06,1.346581E+00,1.739200E-02
1.3107E-06,1.122151E+00,1.739200E-02
1.3110E-06,8.977208E-01,1.739200E-02
1.3112E-06,8.977208E-01,1.652240E-02
1.3115E-06,1.122151E+00,1.739200E-02
1.3117E-06,1.122151E+00,1.739200E-02
1.3120E-06,1.122151E+00,1.739200E-02
1.3122E-06,6.732906E-01,1.739200E-02
1.3125E-06,6.732906E-01,1.739200E-02
1.3127E-06,8.977208E-01,1.826160E-02
1.3130E-06,6.732906E-01,1.826160E-02
1.3132E-06,4.488604E-01,1.826160E-02
1.3135E-06,4.488604E-01,1.739200E-02
1.3137E-06,4.488604E-01,1.826160E-02
1.3140E-06,4.488604E-01,1.913120E-02
1.3142E-06,6.732906E-01,1.826160E-02
1.3145E-06,4.488604E-01,1.826160E-02
1.3147E-06,4.488604E-01,1.826160E-02
1.3150E-06,4.488604E-01,1.913120E-02
1.3152E-06,2.244302E-01,1.913120E-02
1.3155E-06,2.244302E-01,2.000080E-02
1.3157E-06,2.244302E-01,2.000080E-02
1.3160E-06,2.244302E-01,2.000080E-02
1.3162E-06,2.244302E-01,2.000080E-02
1.3165E-06,0.000000E+00,1.913120E-02
1.3167E-06,2.244302E-01,1.913120E-02
1.3170E-06,2.244302E-01,2.000080E-02
1.3172E-06,-2.244302E-01,2.000080E-02
1.3175E-06,0.000000E+00,2.000080E-02
1.3177E-06,2.244302E-01,2.000080E-02
1.3180E-06,2.244302E-01,2.000080E-02
1.3182E-06,0.000000E+00,2.087040E-02
1.3185E-06,0.000000E+00,2.087040E-02
1.3187E-06,-2.244302E-01,2.087040E-02
1.3190E-06,0.000000E+00,2.087040E-02
1.3192E-06,0.000000E+00,2.087040E-02
1.3195E-06,-2.244302E-01,2.087040E-02
1.3197E-06,-4.488604E-01,2.174000E-02
1.3200E-06,-4.488604E-01,2.087040E-02
1.3202E-06,-4.488604E-01,2.087040E-02
1.3205E-06,-4.488604E-01,2.174000E-02
1.3207E-06,-4.488604E-01,2.174000E-02
1.3210E-06,-2.244302E-01,2.260960E-02
1.3212E-06,-4.488604E-01,2.260960E-02
1.3215E-06,-8.977208E-01,2.174000E-02
1.3217E-06,-6.732906E-01,2.260960E-02
1.3220E-06,-6.732906E-01,2.347920E-02
1.3222E-06,-6.732906E-01,2.260960E-02
1.3225E-06,-6.732906E-01,2.434880E-02
