Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,0,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,0.001,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1e-06,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-5.000e-06,-1.80781e-07,2.45938
-4.999e-06,-1.79063e-07,4.60313
-4.998e-06,-1.66562e-07,6.42188
-4.997e-06,-1.60156e-07,7.71875
-4.996e-06,-1.61875e-07,8.64062
-4.995e-06,-1.59688e-07,9.07188
-4.994e-06,-1.56563e-07,9.3125
-4.993e-06,-1.64688e-07,9.29063
-4.992e-06,-1.79844e-07,9.16875
-4.991e-06,-1.93594e-07,8.975
-4.990e-06,-1.97187e-07,8.84688
-4.989e-06,-1.90625e-07,8.79063
-4.988e-06,-1.89688e-07,9.07812
-4.987e-06,-1.85469e-07,9.02813
-4.986e-06,-1.80469e-07,9.25
-4.985e-06,-1.7875e-07,9.47188
-4.984e-06,-1.8625e-07,9.79688
-4.983e-06,-1.88281e-07,10.0438
-4.982e-06,-1.88125e-07,10.4781
-4.981e-06,-1.81563e-07,10.8719
-4.980e-06,-1.775e-07,11.3125
-4.979e-06,-1.82344e-07,11.6938
-4.978e-06,-1.82656e-07,12.2344
-4.977e-06,-1.79375e-07,12.8188
-4.976e-06,-1.81875e-07,13.0938
-4.975e-06,-1.81719e-07,13.3625
-4.974e-06,-1.71406e-07,13.7063
-4.973e-06,-1.70313e-07,13.5688
-4.972e-06,-1.70313e-07,13.5844
-4.971e-06,-1.76875e-07,13.5063
-4.970e-06,-1.83594e-07,13.4656
-4.969e-06,-1.92031e-07,13.2719
-4.968e-06,-1.89844e-07,13.1
-4.967e-06,-1.91094e-07,12.95
-4.966e-06,-1.8375e-07,12.875
-4.965e-06,-1.76875e-07,12.8375
-4.964e-06,-1.72969e-07,12.6562
-4.963e-06,-1.725e-07,12.6688
-4.962e-06,-1.75625e-07,12.6906
-4.961e-06,-1.7375e-07,12.6
-4.960e-06,-1.68594e-07,12.6
-4.959e-06,-1.59375e-07,12.6781
-4.958e-06,-1.60313e-07,12.7
-4.957e-06,-1.55312e-07,12.7875
-4.956e-06,-1.45938e-07,12.9969
-4.955e-06,-1.46719e-07,13.0312
-4.954e-06,-1.50156e-07,13.0063
-4.953e-06,-1.56406e-07,13.1344
-4.952e-06,-1.55156e-07,13.2344
-4.951e-06,-1.52656e-07,13.2969
-4.950e-06,-1.5875e-07,13.3
-4.949e-06,-1.65625e-07,13.3719
-4.948e-06,-1.63281e-07,13.3969
-4.947e-06,-1.60625e-07,13.275
-4.946e-06,-1.57188e-07,13.2625
-4.945e-06,-1.63594e-07,13.2969
-4.944e-06,-1.73438e-07,13.2438
-4.943e-06,-1.83437e-07,13.2156
-4.942e-06,-1.80312e-07,13.25
-4.941e-06,-1.89531e-07,13.1406
-4.940e-06,-2.01875e-07,13.2156
-4.939e-06,-2.00625e-07,13.2281
-4.938e-06,-1.95781e-07,13.175
-4.937e-06,-2.07656e-07,13.1813
