Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-2.0000e-05,0.108656,5.38438
-1.9996e-05,0.109055,9.25
-1.9992e-05,0.109547,9.15313
-1.9988e-05,0.109813,9.3375
-1.9984e-05,0.110133,10.425
-1.9980e-05,0.110445,12.1031
-1.9976e-05,0.110891,13.6406
-1.9972e-05,0.111055,13.6625
-1.9968e-05,0.111547,13.1469
-1.9964e-05,0.11182,12.8094
-1.9960e-05,0.112016,12.8219
-1.9956e-05,0.112328,13.1469
-1.9952e-05,0.112695,13.6219
-1.9948e-05,0.113039,13.6438
-1.9944e-05,0.113187,13.4469
-1.9940e-05,0.113477,13.4031
-1.9936e-05,0.113711,13.4094
-1.9932e-05,0.114008,13.4469
-1.9928e-05,0.114281,13.5
-1.9924e-05,0.11457,13.7156
-1.9920e-05,0.114883,13.6688
-1.9916e-05,0.114906,13.6906
-1.9912e-05,0.115,13.7188
-1.9908e-05,0.115359,13.6938
-1.9904e-05,0.115469,13.6469
-1.9900e-05,0.115711,13.6938
-1.9896e-05,0.11607,13.8094
-1.9892e-05,0.115937,13.7
-1.9888e-05,0.116039,13.7031
-1.9884e-05,0.116258,13.7438
-1.9880e-05,0.1165,13.8438
-1.9876e-05,0.116648,13.8188
-1.9872e-05,0.116687,13.7656
-1.9868e-05,0.116844,13.775
-1.9864e-05,0.116922,13.8969
-1.9860e-05,0.116977,13.9094
-1.9856e-05,0.116984,13.8125
-1.9852e-05,0.117125,13.7406
-1.9848e-05,0.117258,13.8313
-1.9844e-05,0.11718,13.7688
-1.9840e-05,0.117391,13.85
-1.9836e-05,0.117258,13.8344
-1.9832e-05,0.117367,13.8156
-1.9828e-05,0.117305,13.8469
-1.9824e-05,0.117602,13.9531
-1.9820e-05,0.11743,13.8219
-1.9816e-05,0.117227,13.7938
-1.9812e-05,0.117336,13.8375
-1.9808e-05,0.117391,13.8313
-1.9804e-05,0.11725,13.9594
-1.9800e-05,0.11718,13.9094
-1.9796e-05,0.117156,13.8188
-1.9792e-05,0.117313,13.8438
-1.9788e-05,0.117023,13.875
-1.9784e-05,0.116898,13.8125
-1.9780e-05,0.116898,13.8719
-1.9776e-05,0.116789,13.8469
-1.9772e-05,0.11668,13.9031
-1.9768e-05,0.116742,13.9094
-1.9764e-05,0.116445,13.8156
-1.9760e-05,0.11632,13.8875
-1.9756e-05,0.116109,13.9188
-1.9752e-05,0.116187,13.9031
-1.9748e-05,0.115945,13.9219
-1.9744e-05,0.115742,13.8625
-1.9740e-05,0.115531,13.9062
-1.9736e-05,0.115367,13.8438
-1.9732e-05,0.115133,13.9031
-1.9728e-05,0.11482,13.8281
-1.9724e-05,0.114656,13.8063
-1.9720e-05,0.114578,13.95
-1.9716e-05,0.114258,13.825
-1.9712e-05,0.114062,13.9188
-1.9708e-05,0.113883,13.8938
