TIME,CH2,CH3
-5.000e-06,-0.000499844,14.0781
-4.999e-06,-0.000494688,14.1031
-4.998e-06,-0.000490156,14.1719
-4.997e-06,-0.000483438,14.1063
-4.996e-06,-0.000490625,14.1625
-4.995e-06,-0.000487656,14.0969
-4.994e-06,-0.000481406,14.1219
-4.993e-06,-0.000476094,14.0875
-4.992e-06,-0.000474844,14.0594
-4.991e-06,-0.000475469,14.1
-4.990e-06,-0.000477344,14.1
-4.989e-06,-0.000475938,14.0156
-4.988e-06,-0.000464219,14.1656
-4.987e-06,-0.000463906,14.0875
-4.986e-06,-0.000464688,14.1313
-4.985e-06,-0.000463906,14.05
-4.984e-06,-0.00046375,14.0438
-4.983e-06,-0.000463125,14.0969
-4.982e-06,-0.000466563,14.0406
-4.981e-06,-0.000467031,14.125
-4.980e-06,-0.0004625,14.2156
-4.979e-06,-0.000457969,13.9938
-4.978e-06,-0.000460313,14.0813
-4.977e-06,-0.000461875,14.1094
-4.976e-06,-0.000457031,14.1094
-4.975e-06,-0.000445469,14.0063
-4.974e-06,-0.000443281,14.1406
-4.973e-06,-0.000455625,14.0625
-4.972e-06,-0.000447813,14.0906
-4.971e-06,-0.000449219,14.0844
-4.970e-06,-0.000453125,14.1781
-4.969e-06,-0.000449688,14.0156
-4.968e-06,-0.000445469,14.125
-4.967e-06,-0.000439531,14.1063
-4.966e-06,-0.000441875,14.1875
-4.965e-06,-0.000438906,14.0875
-4.964e-06,-0.000443906,14.1531
-4.963e-06,-0.000448594,14.1562
-4.962e-06,-0.000435781,14.1
-4.961e-06,-0.000435469,14.0844
-4.960e-06,-0.000428438,14.1
-4.959e-06,-0.000428906,14.1156
-4.958e-06,-0.000435781,14.1281
-4.957e-06,-0.000431406,14.1406
-4.956e-06,-0.000425313,14.1375
-4.955e-06,-0.000425156,14.1094
-4.954e-06,-0.000420156,14.0781
-4.953e-06,-0.000412188,14.1156
-4.952e-06,-0.000416563,14.0594
-4.951e-06,-0.000419375,14.0906
-4.950e-06,-0.000417656,14.1063
-4.949e-06,-0.000416719,14.0625
-4.948e-06,-0.000414844,14.2344
-4.947e-06,-0.000413125,14.0219
-4.946e-06,-0.000412188,14.1625
-4.945e-06,-0.000407344,14.05
-4.944e-06,-0.000401875,14.0938
-4.943e-06,-0.000400781,14.0312
-4.942e-06,-0.000388594,14.1906
-4.941e-06,-0.000388594,14.0656
-4.940e-06,-0.000379219,14.0656
-4.939e-06,-0.000374688,14.0563
-4.938e-06,-0.000368125,14.1719
-4.937e-06,-0.000374375,14.0469
-4.936e-06,-0.000380313,14.0938
-4.935e-06,-0.000378906,14.1031
-4.934e-06,-0.000373594,14.1719
-4.933e-06,-0.000368438,14.1188
-4.932e-06,-0.000369688,14.1156
-4.931e-06,-0.000363906,14.1313
-4.930e-06,-0.000366719,14.1094
-4.929e-06,-0.000369531,14.1094
-4.928e-06,-0.0003675,14.0875
-4.927e-06,-0.000367031,14.1125
-4.926e-06,-0.000363438,14.1094
-4.925e-06,-0.000356719,14.0969
-4.924e-06,-0.000349688,14.0969
-4.923e-06,-0.000357031,14.1156
-4.922e-06,-0.000354688,14.075
-4.921e-06,-0.000350781,14.0156
-4.920e-06,-0.000349688,14.0688
-4.919e-06,-0.0003475,14.0781
-4.918e-06,-0.000344063,14.1375
-4.917e-06,-0.000339688,14.0938
-4.916e-06,-0.000334531,14.1969
-4.915e-06,-0.000331719,14.025
-4.914e-06,-0.000330938,14.0813
-4.913e-06,-0.000331719,14.1188
-4.912e-06,-0.00034,14.1031
-4.911e-06,-0.000335469,14.0406
-4.910e-06,-0.000333906,14.1625
-4.909e-06,-0.000332188,14.0344
-4.908e-06,-0.000326875,14.1
-4.907e-06,-0.000327188,14.0969
-4.906e-06,-0.000314531,14.175
-4.905e-06,-0.000312344,14.0563
-4.904e-06,-0.000313438,14.0875
-4.903e-06,-0.000300313,14.0844
-4.902e-06,-0.0002975,14.1281
-4.901e-06,-0.000301563,14.1031
-4.900e-06,-0.00030375,14.1
-4.899e-06,-0.000300781,14.05
-4.898e-06,-0.000298281,14.1313
-4.897e-06,-0.000301719,14.0875
-4.896e-06,-0.000301406,14.0719
-4.895e-06,-0.00030125,14.0688
-4.894e-06,-0.000294219,14.0781
-4.893e-06,-0.000285625,14.0656
-4.892e-06,-0.000282031,14.1063
-4.891e-06,-0.000290625,14.0438
-4.890e-06,-0.00029,14.0781
-4.889e-06,-0.000285938,14.05
-4.888e-06,-0.000284063,14.0938
-4.887e-06,-0.000275156,14.1031
-4.886e-06,-0.000268906,14.1344
-4.885e-06,-0.000266563,14.1094
-4.884e-06,-0.000257656,14.1844
-4.883e-06,-0.000256719,14.0312
-4.882e-06,-0.000253438,14.0656
-4.881e-06,-0.000254531,14.0719
-4.880e-06,-0.000251875,14.0656
-4.879e-06,-0.00025125,14.025
-4.878e-06,-0.000237656,14.175
-4.877e-06,-0.000241875,14.0156
-4.876e-06,-0.0002425,14.1156
-4.875e-06,-0.000233906,14.1
-4.874e-06,-0.000226875,14.1906
-4.873e-06,-0.000224531,14.05
-4.872e-06,-0.000230938,14.1063
-4.871e-06,-0.000227656,14.0906
-4.870e-06,-0.000227656,14.1656
-4.869e-06,-0.000228125,14.0688
-4.868e-06,-0.000225625,14.1438
-4.867e-06,-0.000228594,14.1344
-4.866e-06,-0.000231406,14.2031
-4.865e-06,-0.000227188,14.05
-4.864e-06,-0.000222656,14.0531
-4.863e-06,-0.000216563,14.0781
-4.862e-06,-0.000224219,14.0813
-4.861e-06,-0.000222344,14.0125
-4.860e-06,-0.000207969,14.1094
-4.859e-06,-0.000202188,14.0531
-4.858e-06,-0.000200781,14.1094
-4.857e-06,-0.000203438,14.0656
-4.856e-06,-0.000198906,14.1031
-4.855e-06,-0.000190938,14.0594
-4.854e-06,-0.000190469,14.1063
-4.853e-06,-0.000191563,14.0938
-4.852e-06,-0.000186406,14.2156
-4.851e-06,-0.000184531,14.0344
-4.850e-06,-0.000178125,14.1156
-4.849e-06,-0.000172969,14.0813
-4.848e-06,-0.000173438,14.1031
-4.847e-06,-0.000168906,14.0344
-4.846e-06,-0.000157344,14.225
-4.845e-06,-0.000152813,14.0688
-4.844e-06,-0.000146094,14.0875
-4.843e-06,-0.000153594,14.0469
-4.842e-06,-0.000155625,14.1688
-4.841e-06,-0.000148281,14.0594
-4.840e-06,-0.000149219,14.1688
-4.839e-06,-0.000145469,14.1
-4.838e-06,-0.000147031,14.15
-4.837e-06,-0.000135469,14.1094
-4.836e-06,-0.000135781,14.1188
-4.835e-06,-0.000142031,14.05
-4.834e-06,-0.000135938,14.1594
-4.833e-06,-0.000138125,14.0906
-4.832e-06,-0.000134531,14.0844
-4.831e-06,-0.000126875,14.1
-4.830e-06,-0.000126094,14.1094
-4.829e-06,-0.000122813,14.0656
-4.828e-06,-0.000117656,14.1281
-4.827e-06,-0.0001175,14.1
-4.826e-06,-0.000119375,14.125
-4.825e-06,-0.000116406,14.075
-4.824e-06,-0.0001175,14.1031
-4.823e-06,-0.0001175,14.0688
-4.822e-06,-0.000115,14.0938
-4.821e-06,-0.000111719,14.0438
-4.820e-06,-0.000107656,14.1781
-4.819e-06,-0.000106094,14.0281
-4.818e-06,-0.000104688,14.0844
-4.817e-06,-9.5625e-05,14.0438
-4.816e-06,-9.95313e-05,14.0531
-4.815e-06,-9.90625e-05,14.025
-4.814e-06,-9.01563e-05,14.1625
-4.813e-06,-8.53125e-05,14.025
-4.812e-06,-7.90625e-05,14.0938
-4.811e-06,-7.71875e-05,14.0719
-4.810e-06,-7.48437e-05,14.175
-4.809e-06,-6.9375e-05,14.0719
-4.808e-06,-7.0625e-05,14.0906
-4.807e-06,-7.10938e-05,14.1094
-4.806e-06,-7.42188e-05,14.1125
-4.805e-06,-6.35938e-05,14.1188
-4.804e-06,-5.25e-05,14.1219
-4.803e-06,-4.95313e-05,14.0875
-4.802e-06,-4.90625e-05,14.1281
-4.801e-06,-4.20313e-05,14.0656
-4.800e-06,-3.98438e-05,14.0594
-4.799e-06,-3.90625e-05,14.1094
-4.798e-06,-3.89063e-05,14.0906
-4.797e-06,-3.375e-05,14.0594
-4.796e-06,-2.6875e-05,14.1844
-4.795e-06,-3.53125e-05,14.0563
-4.794e-06,-3.45313e-05,14.1219
-4.793e-06,-2.89063e-05,14.0688
-4.792e-06,-2.8125e-05,14.0813
-4.791e-06,-3.09375e-05,14.0969
-4.790e-06,-3.21875e-05,14.0875
-4.789e-06,-2.89063e-05,14.0906
-4.788e-06,-2.82813e-05,14.1531
-4.787e-06,-2.67188e-05,14.0406
-4.786e-06,-1.57813e-05,14.125
-4.785e-06,-8.90625e-06,14.1
-4.784e-06,-1.3125e-05,14.1
-4.783e-06,-9.0625e-06,14.0344
-4.782e-06,-1.09375e-06,14.2344
-4.781e-06,-8.125e-06,14.0625
-4.780e-06,-1.40625e-06,14.0844
-4.779e-06,8.75e-06,14.0094
-4.778e-06,1.20313e-05,14.2188
-4.777e-06,1.60938e-05,13.9969
-4.776e-06,1.32813e-05,14.1313
-4.775e-06,1.82813e-05,14.0375
-4.774e-06,2.07813e-05,14.0688
-4.773e-06,3.125e-05,14.1281
-4.772e-06,3.01563e-05,14.1094
-4.771e-06,2.76563e-05,14.1313
-4.770e-06,3.39063e-05,14.0844
-4.769e-06,3.48438e-05,14.0781
-4.768e-06,4.0625e-05,14.0563
-4.767e-06,3.85938e-05,14.1125
-4.766e-06,3.59375e-05,14.0813
-4.765e-06,3.625e-05,14.0406
-4.764e-06,4.82813e-05,14.1094
-4.763e-06,5.09375e-05,14.1125
-4.762e-06,4.48438e-05,14.0938
-4.761e-06,5.34375e-05,14.0469
-4.760e-06,4.96875e-05,14.0938
-4.759e-06,5.14063e-05,14.0906
-4.758e-06,5.32813e-05,14.0563
-4.757e-06,5.875e-05,14.0594
-4.756e-06,6e-05,14.2406
-4.755e-06,5.60938e-05,14.0094
-4.754e-06,6.32813e-05,14.1156
-4.753e-06,7.1875e-05,14.0563
-4.752e-06,7.9375e-05,14.0563
-4.751e-06,8.76563e-05,14.0281
-4.750e-06,9.34375e-05,14.175
-4.749e-06,9.15625e-05,14.0656
-4.748e-06,9.625e-05,14.0688
-4.747e-06,9.25e-05,14.025
-4.746e-06,9.98438e-05,14.1531
-4.745e-06,9.79688e-05,14.0438
-4.744e-06,9.23438e-05,14.0875
-4.743e-06,9.76563e-05,14.0938
-4.742e-06,9.4375e-05,14.1219
-4.741e-06,9.85938e-05,14.0906
-4.740e-06,0.000102813,14.1
-4.739e-06,0.000115781,14.0438
-4.738e-06,0.000120938,14.0938
-4.737e-06,0.0001225,14.0281
-4.736e-06,0.000129062,14.1188
-4.735e-06,0.000133125,14.0188
-4.734e-06,0.000124063,14.1063
-4.733e-06,0.000122813,14.0375
-4.732e-06,0.000129219,14.0625
-4.731e-06,0.000125156,14.0438
-4.730e-06,0.000121406,14.0938
-4.729e-06,0.000129219,13.9906
-4.728e-06,0.00013375,14.0938
-4.727e-06,0.000145313,14.0719
-4.726e-06,0.000146563,14.0625
-4.725e-06,0.000152344,14.0719
-4.724e-06,0.000159063,14.2219
-4.723e-06,0.000155781,14.05
-4.722e-06,0.000163594,14.15
-4.721e-06,0.000157969,14.0312
-4.720e-06,0.000151875,14.0656
-4.719e-06,0.000158438,14.0125
-4.718e-06,0.000170625,14.2156
-4.717e-06,0.000165938,14.0281
-4.716e-06,0.000172344,14.1156
-4.715e-06,0.000182813,14.0469
-4.714e-06,0.000183594,14.1813
-4.713e-06,0.000186094,14.0688
-4.712e-06,0.000185313,14.1094
-4.711e-06,0.000184063,14.1156
-4.710e-06,0.000177344,14.0781
-4.709e-06,0.0001875,14.0938
-4.708e-06,0.000185781,14.1063
-4.707e-06,0.00018875,14.1594
-4.706e-06,0.000189844,14.1094
-4.705e-06,0.000188281,14.0625
-4.704e-06,0.000187188,14.0312
-4.703e-06,0.000190938,13.9875
-4.702e-06,0.000196719,14.1125
-4.701e-06,0.00020125,14.1094
-4.700e-06,0.000203438,14.1094
-4.699e-06,0.000197813,13.975
-4.698e-06,0.000199063,13.9563
-4.697e-06,0.000209844,13.6125
-4.696e-06,0.000214688,13.1031
-4.695e-06,0.000222813,12.2188
-4.694e-06,0.000224063,10.8656
-4.693e-06,0.000235625,8.93125
-4.692e-06,0.000244375,6.54688
