Voltage,Current,Current 2,Calculated,Approximated,PD Current
2.55,0.019,23.32,22.36842105,22.36,0.96
2.65,0.019,24.08,23.24561404,23.24,0.84
2.75,0.021,25.04,24.12280702,24.12,0.92
2.85,0.023,25.9,25,25,0.9
2.95,0.023,26.91,25.87719298,25.87,1.04
3.05,0.024,27.74,26.75438596,26.75,0.99
3.15,0.024,28.81,27.63157895,27.63,1.18
3.25,0.026,29.87,28.50877193,28.5,1.37
3.35,0.027,30.84,29.38596491,29.38,1.46
3.45,0.028,31.88,30.26315789,30.26,1.62
3.55,0.029,32.95,31.14035088,31.14,1.81
3.65,0.03,34.02,32.01754386,32.01,2.01
3.75,0.031,35.16,32.89473684,32.89,2.27
3.85,0.033,36.38,33.77192982,33.77,2.61
