Voltage (V),Current (mA),Calculated Current (mA),Approximated,PD Current
2.55,23.32,22.36842105,22.36,0.96
2.65,24.08,23.24561404,23.24,0.84
2.75,25.04,24.12280702,24.12,0.92
2.85,25.9,25,25,0.9
2.95,26.91,25.87719298,25.87,1.04
3.05,27.74,26.75438596,26.75,0.99
3.15,28.81,27.63157895,27.63,1.18
3.25,29.87,28.50877193,28.5,1.37
3.35,30.84,29.38596491,29.38,1.46
3.45,31.88,30.26315789,30.26,1.62
3.55,32.95,31.14035088,31.14,1.81
3.65,34.02,32.01754386,32.01,2.01
3.75,35.16,32.89473684,32.89,2.27
3.85,36.38,33.77192982,33.77,2.61
